feature,family,point_in_time,n_unique
vman_overrides_nested,vman (version manifest),True,1
vman_prettier_dict_size,vman (version manifest),True,7
vman_prettier_nested,vman (version manifest),True,2
vman_magda_dict_size,vman (version manifest),True,2
vman_magda_nested,vman (version manifest),True,2
vman_readmeFilename_len,vman (version manifest),True,3
vman_readmeFilename_ent,vman (version manifest),True,4
vman_source_len,vman (version manifest),True,6
vman_source_ent,vman (version manifest),True,7
vman_release_it_dict_size,vman (version manifest),True,2
vman_release_it_nested,vman (version manifest),True,2
vman_eslintConfig_dict_size,vman (version manifest),True,4
vman_eslintConfig_nested,vman (version manifest),True,2
vman_eslintIgnore_list_size,vman (version manifest),True,3
vman_react_native_len,vman (version manifest),True,6
vman_react_native_ent,vman (version manifest),True,7
vman_react_native_builder_bob_dict_size,vman (version manifest),True,2
vman_react_native_builder_bob_nested,vman (version manifest),True,2
vman_private_bool,vman (version manifest),True,1
vman_imports_dict_size,vman (version manifest),True,3
vman_imports_nested,vman (version manifest),True,2
vman_workspaces_list_size,vman (version manifest),True,3
vman_shasum_len,vman (version manifest),True,2
vman_shasum_ent,vman (version manifest),True,3
vman_n8n_dict_size,vman (version manifest),True,3
vman_n8n_nested,vman (version manifest),True,2
vman_tsd_dict_size,vman (version manifest),True,3
vman_tsd_nested,vman (version manifest),True,2
vman_config_dict_size,vman (version manifest),True,3
vman_config_nested,vman (version manifest),True,2
vman_gypfile_bool,vman (version manifest),True,2
vman_pnpm_dict_size,vman (version manifest),True,3
vman_pnpm_nested,vman (version manifest),True,2
vman_typescript_dict_size,vman (version manifest),True,2
vman_typescript_nested,vman (version manifest),True,1
vman_browserslist_dict_size,vman (version manifest),True,2
vman_browserslist_nested,vman (version manifest),True,2
vman_limit_size_list_size,vman (version manifest),True,2
vman_executors_len,vman (version manifest),True,1
vman_executors_ent,vman (version manifest),True,1
vman_migrations_len,vman (version manifest),True,1
vman_migrations_ent,vman (version manifest),True,1
vman_verb_dict_size,vman (version manifest),True,2
vman_verb_nested,vman (version manifest),True,2
vman_preferUnplugged_bool,vman (version manifest),True,2
vman_authors_list_size,vman (version manifest),True,3
vman_funding_list_size,vman (version manifest),True,4
vman_release_dict_size,vman (version manifest),True,3
vman_release_nested,vman (version manifest),True,2
vman_libc_list_size,vman (version manifest),True,2
vman_size_limit_list_size,vman (version manifest),True,3
vman_clean_publish_dict_size,vman (version manifest),True,2
vman_clean_publish_nested,vman (version manifest),True,1
vman_simple_git_hooks_dict_size,vman (version manifest),True,3
vman_simple_git_hooks_nested,vman (version manifest),True,1
vman_licenses_list_size,vman (version manifest),True,2
vman_bugs_len,vman (version manifest),True,3
vman_bugs_ent,vman (version manifest),True,3
vman_depup_dict_size,vman (version manifest),True,2
vman_depup_nested,vman (version manifest),True,2
vman_update_len,vman (version manifest),True,1
vman_update_ent,vman (version manifest),True,1
vman_waWebVersion_len,vman (version manifest),True,1
vman_waWebVersion_ent,vman (version manifest),True,1
vman_lastUpdatedWITA_len,vman (version manifest),True,1
vman_lastUpdatedWITA_ent,vman (version manifest),True,1
vman_waWebVersionSource_len,vman (version manifest),True,1
vman_waWebVersionSource_ent,vman (version manifest),True,1
vman_repository_len,vman (version manifest),True,7
vman_repository_ent,vman (version manifest),True,7
vman_registry_bool,vman (version manifest),True,2
vman_prettier_len,vman (version manifest),True,8
vman_prettier_ent,vman (version manifest),True,9
vman_gitCommitId_len,vman (version manifest),True,2
vman_gitCommitId_ent,vman (version manifest),True,3
vman_resolutions_dict_size,vman (version manifest),True,2
vman_resolutions_nested,vman (version manifest),True,1
vman_memoraxCode_dict_size,vman (version manifest),True,2
vman_memoraxCode_nested,vman (version manifest),True,1
vman_xo_dict_size,vman (version manifest),True,2
vman_xo_nested,vman (version manifest),True,2
vman_standard_dict_size,vman (version manifest),True,4
vman_standard_nested,vman (version manifest),True,2
vman_mocha_dict_size,vman (version manifest),True,4
vman_mocha_nested,vman (version manifest),True,2
vman_nyc_dict_size,vman (version manifest),True,4
vman_nyc_nested,vman (version manifest),True,2
vman_man_list_size,vman (version manifest),True,2
vman_nano_staged_dict_size,vman (version manifest),True,4
vman_nano_staged_nested,vman (version manifest),True,2
vman_claudeall_dict_size,vman (version manifest),True,2
vman_claudeall_nested,vman (version manifest),True,2
vman_build_dict_size,vman (version manifest),True,2
vman_build_nested,vman (version manifest),True,2
vman_author_email_len,vman (version manifest),True,68
