feature,family,point_in_time,n_unique
vman_licenses_list_size,vman (manifeste de la version),True,2
vman_bugs_len,vman (manifeste de la version),True,3
vman_bugs_ent,vman (manifeste de la version),True,3
vman_depup_dict_size,vman (manifeste de la version),True,2
vman_depup_nested,vman (manifeste de la version),True,2
vman_update_len,vman (manifeste de la version),True,2
vman_update_ent,vman (manifeste de la version),True,4
vman_waWebVersion_len,vman (manifeste de la version),True,3
vman_waWebVersion_ent,vman (manifeste de la version),True,3
vman_lastUpdatedWITA_len,vman (manifeste de la version),True,2
vman_lastUpdatedWITA_ent,vman (manifeste de la version),True,4
vman_waWebVersionSource_len,vman (manifeste de la version),True,2
vman_waWebVersionSource_ent,vman (manifeste de la version),True,2
vman_repository_len,vman (manifeste de la version),True,7
vman_repository_ent,vman (manifeste de la version),True,7
vman_registry_bool,vman (manifeste de la version),True,2
vman_prettier_len,vman (manifeste de la version),True,8
vman_prettier_ent,vman (manifeste de la version),True,9
vman_gitCommitId_len,vman (manifeste de la version),True,2
vman_gitCommitId_ent,vman (manifeste de la version),True,3
vman_resolutions_dict_size,vman (manifeste de la version),True,2
vman_resolutions_nested,vman (manifeste de la version),True,1
vman_memoraxCode_dict_size,vman (manifeste de la version),True,2
vman_memoraxCode_nested,vman (manifeste de la version),True,1
vman_xo_dict_size,vman (manifeste de la version),True,2
vman_xo_nested,vman (manifeste de la version),True,2
vman_standard_dict_size,vman (manifeste de la version),True,4
vman_standard_nested,vman (manifeste de la version),True,2
vman_mocha_dict_size,vman (manifeste de la version),True,4
vman_mocha_nested,vman (manifeste de la version),True,2
vman_nyc_dict_size,vman (manifeste de la version),True,4
vman_nyc_nested,vman (manifeste de la version),True,2
vman_man_list_size,vman (manifeste de la version),True,2
vman_nano_staged_dict_size,vman (manifeste de la version),True,4
vman_nano_staged_nested,vman (manifeste de la version),True,2
vman_claudeall_dict_size,vman (manifeste de la version),True,2
vman_claudeall_nested,vman (manifeste de la version),True,2
vman_build_dict_size,vman (manifeste de la version),True,2
vman_build_nested,vman (manifeste de la version),True,2
vman_author_email_len,vman (manifeste de la version),True,69
vman_author_email_ent,vman (manifeste de la version),True,560
vman_classifiers_list_size,vman (manifeste de la version),True,27
vman_description_content_type_len,vman (manifeste de la version),True,5
vman_description_content_type_ent,vman (manifeste de la version),True,6
vman_download_url_len,vman (manifeste de la version),True,25
vman_download_url_ent,vman (manifeste de la version),True,41
vman_home_page_len,vman (manifeste de la version),True,68
vman_home_page_ent,vman (manifeste de la version),True,479
vman_keywords_len,vman (manifeste de la version),True,109
vman_keywords_ent,vman (manifeste de la version),True,367
vman_maintainer_len,vman (manifeste de la version),True,19
vman_maintainer_ent,vman (manifeste de la version),True,30
vman_maintainer_email_len,vman (manifeste de la version),True,33
vman_maintainer_email_ent,vman (manifeste de la version),True,55
vman_package_url_len,vman (manifeste de la version),True,45
vman_package_url_ent,vman (manifeste de la version),True,724
vman_project_url_len,vman (manifeste de la version),True,45
vman_project_url_ent,vman (manifeste de la version),True,724
vman_release_url_len,vman (manifeste de la version),True,48
vman_release_url_ent,vman (manifeste de la version),True,780
vman_requires_python_len,vman (manifeste de la version),True,20
vman_requires_python_ent,vman (manifeste de la version),True,42
vman_summary_len,vman (manifeste de la version),True,146
vman_summary_ent,vman (manifeste de la version),True,947
vman_dynamic_list_size,vman (manifeste de la version),True,15
vman_platform_len,vman (manifeste de la version),True,10
vman_platform_ent,vman (manifeste de la version),True,12
vman_project_urls_dict_size,vman (manifeste de la version),True,11
vman_project_urls_nested,vman (manifeste de la version),True,1
vman_requires_dist_list_size,vman (manifeste de la version),True,37
vman_license_files_list_size,vman (manifeste de la version),True,5
vman_provides_extra_list_size,vman (manifeste de la version),True,14
vman_license_expression_len,vman (manifeste de la version),True,8
vman_license_expression_ent,vman (manifeste de la version),True,8
vman_readme_len,vman (manifeste de la version),True,10
vman_readme_ent,vman (manifeste de la version),True,20
vman_licenseText_len,vman (manifeste de la version),True,2
vman_licenseText_ent,vman (manifeste de la version),True,6
vman_auto_changelog_dict_size,vman (manifeste de la version),True,2
vman_auto_changelog_nested,vman (manifeste de la version),True,1
vman_files_list_size,vman (manifeste de la version),True,3
vman_declaration_bool,vman (manifeste de la version),True,2
vman_amdName_len,vman (manifeste de la version),True,3
vman_amdName_ent,vman (manifeste de la version),True,3
vman_netlifySiteId_len,vman (manifeste de la version),True,2
vman_netlifySiteId_ent,vman (manifeste de la version),True,2
vman_browserslist_list_size,vman (manifeste de la version),True,3
vman_atlassian_dict_size,vman (manifeste de la version),True,2
vman_atlassian_nested,vman (manifeste de la version),True,2
vman_techstack_dict_size,vman (manifeste de la version),True,3
vman_techstack_nested,vman (manifeste de la version),True,2
vman_atlaskit_src_len,vman (manifeste de la version),True,2
vman_atlaskit_src_ent,vman (manifeste de la version),True,2
vman_module_es2019_len,vman (manifeste de la version),True,2
vman_module_es2019_ent,vman (manifeste de la version),True,2
vman_platform_feature_flags_dict_size,vman (manifeste de la version),True,2
vman_platform_feature_flags_nested,vman (manifeste de la version),True,2
vman_compassUnitTestMetricSourceId_len,vman (manifeste de la version),True,2
vman_compassUnitTestMetricSourceId_ent,vman (manifeste de la version),True,2
vman_calypso_src_len,vman (manifeste de la version),True,2
vman_calypso_src_ent,vman (manifeste de la version),True,2
vman_versionist_dict_size,vman (manifeste de la version),True,2
vman_versionist_nested,vman (manifeste de la version),True,1
vman_ava_dict_size,vman (manifeste de la version),True,5
vman_ava_nested,vman (manifeste de la version),True,2
vman_nx_dict_size,vman (manifeste de la version),True,2
vman_nx_nested,vman (manifeste de la version),True,2
vman_umd_main_len,vman (manifeste de la version),True,3
vman_umd_main_ent,vman (manifeste de la version),True,3
vman_babel_dict_size,vman (manifeste de la version),True,3
vman_babel_nested,vman (manifeste de la version),True,2
vman_clean_package_dict_size,vman (manifeste de la version),True,2
vman_clean_package_nested,vman (manifeste de la version),True,2
vman_scripty_dict_size,vman (manifeste de la version),True,2
vman_scripty_nested,vman (manifeste de la version),True,1
vman_jsnext_main_len,vman (manifeste de la version),True,8
vman_jsnext_main_ent,vman (manifeste de la version),True,8
vman_stratus_dict_size,vman (manifeste de la version),True,2
vman_stratus_nested,vman (manifeste de la version),True,1
vman_volta_dict_size,vman (manifeste de la version),True,3
vman_volta_nested,vman (manifeste de la version),True,1
vman_browserslist_len,vman (manifeste de la version),True,2
vman_browserslist_ent,vman (manifeste de la version),True,2
vman_test_main_len,vman (manifeste de la version),True,2
vman_test_main_ent,vman (manifeste de la version),True,2
vman_madge_dict_size,vman (manifeste de la version),True,2
vman_madge_nested,vman (manifeste de la version),True,2
vman_src_len,vman (manifeste de la version),True,2
vman_src_ent,vman (manifeste de la version),True,2
vman_preconstruct_dict_size,vman (manifeste de la version),True,2
vman_preconstruct_nested,vman (manifeste de la version),True,2
vman_link_len,vman (manifeste de la version),True,2
vman_link_ent,vman (manifeste de la version),True,2
vman_libraryTemplate_dict_size,vman (manifeste de la version),True,2
vman_libraryTemplate_nested,vman (manifeste de la version),True,1
vman_umd_len,vman (manifeste de la version),True,2
vman_umd_ent,vman (manifeste de la version),True,2
vman_pre_commit_list_size,vman (manifeste de la version),True,3
vman_typeValidation_dict_size,vman (manifeste de la version),True,2
vman_typeValidation_nested,vman (manifeste de la version),True,2
vman_inlinedDependencies_dict_size,vman (manifeste de la version),True,2
vman_inlinedDependencies_nested,vman (manifeste de la version),True,1
vman_customElements_len,vman (manifeste de la version),True,2
vman_customElements_ent,vman (manifeste de la version),True,2
vman_registry_len,vman (manifeste de la version),True,2
vman_registry_ent,vman (manifeste de la version),True,2
vman_tshy_dict_size,vman (manifeste de la version),True,3
vman_tshy_nested,vman (manifeste de la version),True,2
vman_node_len,vman (manifeste de la version),True,3
vman_node_ent,vman (manifeste de la version),True,3
vman_clean_package_len,vman (manifeste de la version),True,2
vman_clean_package_ent,vman (manifeste de la version),True,2
vman_devEngines_dict_size,vman (manifeste de la version),True,2
vman_devEngines_nested,vman (manifeste de la version),True,2
vman_publish_dict_size,vman (manifeste de la version),True,2
vman_publish_nested,vman (manifeste de la version),True,1
